classifier,period_length,sampling_rate,accuracy,f1_score,best_params_
GaussianNB,1000,1000,0.796,0.772,{'var_smoothing': 0.0001}
GaussianNB,1300,1000,0.777,0.742,{'var_smoothing': 0.0001}
GaussianNB,1500,1000,0.763,0.722,{'var_smoothing': 0.001}
GaussianNB,1800,1000,0.753,0.704,{'var_smoothing': 0.001}
GaussianNB,2000,1000,0.748,0.696,{'var_smoothing': 0.001}
GaussianNB,2200,1000,0.739,0.684,{'var_smoothing': 0.001}
GaussianNB,2500,1000,0.716,0.656,{'var_smoothing': 0.001}
GaussianNB,1000,2000,0.795,0.770,{'var_smoothing': 0.0001}
GaussianNB,1300,2000,0.778,0.744,{'var_smoothing': 0.0001}
GaussianNB,1500,2000,0.763,0.722,{'var_smoothing': 0.001}
GaussianNB,1800,2000,0.753,0.704,{'var_smoothing': 0.001}
GaussianNB,2000,2000,0.748,0.696,{'var_smoothing': 0.001}
GaussianNB,2200,2000,0.739,0.684,{'var_smoothing': 0.001}
GaussianNB,2500,2000,0.716,0.656,{'var_smoothing': 0.001}
GaussianNB,1000,5000,0.794,0.769,{'var_smoothing': 0.0001}
GaussianNB,1300,5000,0.778,0.744,{'var_smoothing': 0.0001}
GaussianNB,1500,5000,0.762,0.720,{'var_smoothing': 0.001}
GaussianNB,1800,5000,0.753,0.704,{'var_smoothing': 0.001}
GaussianNB,2000,5000,0.748,0.696,{'var_smoothing': 0.001}
GaussianNB,2200,5000,0.739,0.684,{'var_smoothing': 0.001}
GaussianNB,2500,5000,0.717,0.657,{'var_smoothing': 0.001}
GaussianNB,1000,10000,0.796,0.771,{'var_smoothing': 0.0001}
GaussianNB,1300,10000,0.773,0.737,{'var_smoothing': 0.0001}
GaussianNB,1500,10000,0.761,0.719,{'var_smoothing': 0.001}
GaussianNB,1800,10000,0.752,0.704,{'var_smoothing': 0.001}
GaussianNB,2000,10000,0.745,0.694,{'var_smoothing': 0.001}
GaussianNB,2200,10000,0.736,0.681,{'var_smoothing': 0.001}
GaussianNB,2500,10000,0.712,0.652,{'var_smoothing': 0.001}
GaussianNB,1000,20000,0.791,0.764,{'var_smoothing': 0.0001}
GaussianNB,1300,20000,0.771,0.734,{'var_smoothing': 0.0001}
GaussianNB,1500,20000,0.760,0.717,{'var_smoothing': 0.001}
GaussianNB,1800,20000,0.752,0.706,{'var_smoothing': 0.001}
GaussianNB,2000,20000,0.741,0.690,{'var_smoothing': 0.001}
GaussianNB,2200,20000,0.731,0.676,{'var_smoothing': 0.001}
GaussianNB,2500,20000,0.710,0.650,{'var_smoothing': 0.001}
LogisticRegression,0,0,0.984,0.984,{'C': 100}
LogisticRegression,1000,1000,0.924,0.924,{'C': 100}
LogisticRegression,1300,1000,0.938,0.939,{'C': 100}
LogisticRegression,1500,1000,0.929,0.930,{'C': 100}
LogisticRegression,1800,1000,0.922,0.924,{'C': 100}
LogisticRegression,2000,1000,0.921,0.922,{'C': 100}
